system,location_group,category
WMS,1000,LOCAL-WMS
WMS,1001,RMT-WMS
WMS,1002,LOCAL-WMS
WMS,1003,RMT-WMS
WMS,1004,RMT-WMS
WMS,1005,RMT-WMS
WMS,1100,LOCAL-MRB
WMS,1101,RMT-MRB
WMS,1102,NON-WMS
WMS,1103,NON-WMS
WMS,1104,RMT-MRB
WMS,1105,NON-WMS
WMS,1200,NON-WMS
WMS,1201,NON-WMS
WMS,1300,TRAST
WMS,1301,TRAST
WMS,6000,LOCAL-WMS
WMS,1401,NON-WMS
WMS,0000,SUBCON
WMS,9001,LOCAL-RCSV
SAP,1000,STOCK
SAP,1001,BRATW
SAP,1002,DEF
SAP,1003,MIL
SAP,1004,WHAR
SAP,1005,OLGWH
SAP,1100,MRB
SAP,1101,BRATWMRB
SAP,1102,MRBDEF
SAP,1103,MILLMRB
SAP,1104,WHARTMRB
SAP,1105,OLGMRB
SAP,1200,SCRAP
SAP,1201,RTV-DOCK
SAP,1300,INTRA091
SAP,1301,INTRNSIT
SAP,1401,FINDLAY
SAP,6000,SHIP-FG
SAP,7000,SPARE-PARTS
SAP,9001,RECURRING-QI
SAP,0000,SUBCON
