id,item,workspace_location_srlnum
1,302610,2-TOY-5-2-1-1
2,600614,2-TOY-6-2-1-3
3,803535,2-TOY-5-2-1-3
4,803905,2-TOY-5-1-1-2
5,806395,2-TOY-4-3-1-2
6,806440,2-TOY-3-1-1-1
7,806455,2-TOY-3-1-1-3
8,806465,2-TOY-3-2-1-2
9,806640,2-TOY-4-2-1-1
10,806655,2-TOY-3-1-1-2
11,806665,2-TOY-3-2-1-1
12,806875,2-TOY-4-1-1-3
13,806885,2-TOY-4-2-1-1
14,808200,2-TOY-4-3-1-3
15,900770,2-TOY-5-2-1-2
16,902090,2-TOY-5-1-1-1
17,902280,2-TOY-6-4-1-3
18,902290,2-TOY-6-4-1-2
19,902400,2-TOY-6-4-1-1
20,902616,2-TOY-6-3-1-3
23,904840,2-TOY-3-3-1-3
24,905390,2-TOY-3-3-1-2
25,906540,2-TOY-6-3-1-2
26,906590,2-TOY-3-2-1-3
27,907670,2-TOY-5-3-1-1
28,907670,2-TOY-5-3-1-2
29,907680,2-TOY-5-3-1-3
30,907690,2-TOY-5-4-1-1
31,907700,2-TOY-5-4-1-2
32,907700,2-TOY-5-4-1-3
33,908760,2-TOY-4-3-1-1
34,909500,2-TOY-4-2-1-2
35,909510,2-TOY-4-2-1-3
36,909870,2-TOY-3-3-1-1
